id,lon,lat,name,highway,public_transport,amenity,railway,route,bus,train,subway,station,x,y
12435161740,106.7264148,10.8048623,Khu nhà biệt thự 38 Nguyễn Văn Hưởng,bus_stop,platform,,,,yes,,,,688749.8845130459,1194936.311800115
12435161741,106.7281821,10.8019403,Công viên bờ sông Sài Gòn - Thảo Điền,bus_stop,platform,,,,yes,,,,688944.9871669454,1194614.1840527514
12435161742,106.7422907,10.8010189,Siêu thị Mega Market An Phú,bus_stop,platform,,,,yes,,,,690488.527940109,1194521.02214436
12435161743,106.7390462,10.7982123,Chung cư cao ốc An Cư,bus_stop,platform,,,,yes,,,,690135.4636207158,1194208.5444989968
12435161744,106.7433276,10.7964648,Trường Trung học phổ thông Thủ Thiêm,bus_stop,platform,,,,yes,,,,690604.7999965104,1194017.908123407
12435161745,106.7451428,10.7953762,Chung cư Bình Khánh,bus_stop,platform,,,,yes,,,,690804.0075481806,1193898.6228545178
12435161746,106.7457908,10.792051,Công an phường An Phú,bus_stop,platform,,,,yes,,,,690876.9762495663,1193531.2035534123
12435161747,106.7022438,10.776776,Trung tâm VinCom,bus_stop,platform,,,,yes,,,,686123.8087509944,1191814.7239442368
12435161748,106.7038026,10.7753669,Nhà hát Thành phố,bus_stop,platform,,,,yes,,,,686295.1622806943,1191659.8046528718
12435161749,106.6965283,10.778308,Dinh Độc Lập,bus_stop,platform,,,,yes,,,,685497.7644749165,1191980.7171936468
12435545036,106.7459013,10.7919597,Công an phường An Phú,bus_stop,platform,,,,yes,,,,690889.1189694447,1193521.1731905406
12435545037,106.7453541,10.794889,Chung cư Bình Khánh,bus_stop,platform,,,,yes,,,,690827.4241627629,1193844.8621211278
12435545038,106.7432701,10.7967282,Trường Trung học phổ thông Thủ Thiêm,bus_stop,platform,,,,yes,,,,690598.3453666779,1194047.008769682
12435545039,106.7395019,10.7984468,Chung cư cao ốc An Cư,bus_stop,platform,,,,yes,,,,690185.1534935879,1194234.7676484194
12435545040,106.7427442,10.8010239,Siêu thị Mega Market An Phú,bus_stop,platform,,,,yes,,,,690538.1212674604,1194521.8579828895
12435545041,106.7506792,10.8048503,The Vista,bus_stop,platform,,,,yes,,,,691403.499962883,1194950.0836574687
12435545044,106.6783643,10.7733719,Cao Thắng,bus_stop,platform,,,,yes,,,,683514.1758709687,1191423.7742131585
12435545045,106.687763,10.7773857,Hồ Xuân Hương,bus_stop,platform,,,,yes,,,,684539.671723558,1191873.4018214392
12435545046,106.6893957,10.7758788,Võ Văn Tần,bus_stop,platform,,,,yes,,,,684719.1584853234,1191707.7021297666
12435545047,106.6943088,10.7762661,Sân vận động Tao Đàn,bus_stop,platform,,,,yes,,,,685256.2681886058,1191753.5104789266
12435545048,106.6967129,10.7743451,Thủ Khoa Huân,bus_stop,platform,,,,yes,,,,685520.381956473,1191542.475740982
12435545049,106.695901,10.772314,Chùa Bà Ấn,bus_stop,platform,,,,yes,,,,685432.8270750858,1191317.3156150435
12435545051,106.7345236,10.7994437,Cầu Đen,bus_stop,platform,,,,yes,,,,689640.0788857369,1194341.9477891896
12435545052,106.736848,10.7985933,Khu đô thị An Phú,bus_stop,platform,,,,yes,,,,689894.8190041187,1194249.322795611
12435545053,106.7411188,10.795769,Cục thuế Thành phố Hồ Chí Minh,bus_stop,platform,,,,yes,,,,690363.6718842322,1193939.5645648113
12435545054,106.7396969,10.7918932,Chung cư Screc II,bus_stop,platform,,,,yes,,,,690210.60361627,1193509.9512468262
12435545055,106.7447128,10.7890689,Đường H,bus_stop,platform,,,,yes,,,,690760.959607709,1193200.6600436398
12435545056,106.7437579,10.7881205,Trường An Khánh,bus_stop,platform,,,,yes,,,,690657.1217386761,1193095.1556399788
12435545057,106.741684,10.7870602,Công viên lô E,bus_stop,platform,,,,yes,,,,690430.9699740307,1192976.5769239492
